"","pmid","pmcid_pmc","pmcid_uid","doi","filename","journal","publisher","affiliation_institution","affiliation_country","year_epub","year_ppub","is_coi_pred","coi_text","is_coi_pmc_fn","is_coi_pmc_title","is_relevant_coi","is_relevant_coi_hi","is_relevant_coi_lo","is_explicit_coi","coi_1","coi_2","coi_disclosure_1","commercial_1","benefit_1","consultant_1","grants_1","brief_1","fees_1","consults_1","connect_1","connect_2","commercial_ack_1","rights_1","founder_1","advisor_1","paid_1","board_1","no_coi_1","no_funder_role_1","is_fund_pred","fund_text","fund_pmc_institute","fund_pmc_source","fund_pmc_anysource","is_fund_pmc_group","is_fund_pmc_title","is_fund_pmc_anysource","is_relevant_fund","is_explicit_fund","support_1","support_3","support_4","support_5","support_6","support_7","support_8","support_9","support_10","developed_1","received_1","received_2","recipient_1","authors_1","authors_2","thank_1","thank_2","fund_1","fund_2","fund_3","supported_1","financial_1","financial_2","financial_3","grant_1","french_1","common_1","common_2","common_3","common_4","common_5","acknow_1","disclosure_1","disclosure_2","fund_ack","project_ack","is_register_pred","register_text","type","is_research","is_review","is_reg_pmc_title","is_relevant_reg","is_method","is_NCT","is_explicit_reg","prospero_1","registered_1","registered_2","registered_3","registered_4","registered_5","not_registered_1","registration_1","registration_2","registration_3","registration_4","registry_1","reg_title_1","reg_title_2","reg_title_3","reg_title_4","funded_ct_1","ct_2","ct_3","protocol_1","is_success"
"1","32094336","","7039956","10.1038/s41368-020-0074-x","PMC 7039956.xml","International Journal of Oral Science","Nature Publishing Group UK; London","State Key Laboratory of Oral Diseases, National Clinical Research Center for Oral Diseases, Chinese Academy of Medical Sciences Research Unit of Oral Carcinogenesis and Management, West China Hospital of Stomatology, ; Sichuan University, ; Key Laboratory of Oral Biomedical Research of Zhejiang Province, Affiliated Stomatology Hospital, ; Zhejiang University School of Stomatology, ","","2020","",TRUE,"Competing interests The authors declare no competing interests.",FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This study was supported by grants from the National Natural Science Foundation of China (81520108009, 81991502, 81771081, and 81991500), the 111 Project of MOE (B14038), China.","111 Project of MOE,B14038","111 Project of MOE,B14038","",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2","32127517","","7054527","10.1038/s41368-020-0075-9","PMC 7054527.xml","International Journal of Oral Science","Nature Publishing Group UK; London","State Key Laboratory of Oral Diseases & National Clinical Research Center for Oral Diseases & Department of Cariology and Endodontics, West China Hospital of Stomatology, ; Sichuan University, ","","2020","",TRUE,"Competing interests The authors declare no competing interests.",FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This study was supported by the Emergency Project of Sichuan University (0082604151013, XZ).","Emergency Project of Sichuan University (0082604151013, XZ)","Emergency Project of Sichuan University (0082604151013, XZ)","",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,"","review-article",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"3","32246280","","7118209","10.1007/s00784-020-03267-8","PMC 7118209.xml","Clinical Oral Investigations","Springer Berlin Heidelberg; Berlin/Heidelberg","Department of Prosthodontics, ; Peking University School and Hospital of Stomatology & National Clinical Research Center for Oral Diseases & National Engineering Laboratory for Digital and Material Technology of Stomatology & Beijing Key Laboratory of Digital Stomatology, ; Department of Anesthesiology, ; Peking University First Hospital, ","","2020","",TRUE,"Conflict of interest The authors declare that they have no conflict of interest.",FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Funding information This work was supported by Peking University School and Hospital of Stomatology (PKUSSNCT-19A03).","Peking University School and Hospital of Stomatology","Peking University School and Hospital of Stomatology","",TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","brief-report",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"4","32303420","","7128256","10.1016/j.jcms.2020.03.011","PMC 7128256.xml","Journal of Cranio-Maxillo-Facial Surgery","European Association for Cranio-Maxillo-Facial Surgery. Published by Elsevier Ltd.","","","2020","2020",FALSE,"",FALSE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,"","review-article",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"5","32265088","","7132499","10.1016/j.ijom.2020.03.015","PMC 7132499.xml","International Journal of Oral and Maxillofacial Surgery","Published by Elsevier Ltd on behalf of International Association of Oral and Maxillofacial Surgeons.","","","2020","2020",TRUE,"Conflict of interest Author G.R.J. Swennen has a potential conflict of interest, having a minor stock ownership in 3D Infinity. Authors L. Pottel and P.E. Haers have no conflict of interest to declare.",FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Funding No funding or grants were obtained.","","","",FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","brief-report",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"6","32162995","","7140973","10.1177/0022034520914246","PMC 7140973.xml","Journal of Dental Research","SAGE Publications; Sage CA: Los Angeles, CA","","","2020","2020",TRUE,"The authors declare no potential conflicts of interest with respect to the authorship and/or publication of this article.",TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"The article was supported by grants from the National Natural Science Foundation of China (Nos. 81870761, 81970923, 81901044), The National Key Research and Development Program of China (2016YFC1000505), and the Key Research Program of the Provincial Department of Science and Technology (No. 2017ACA181).","National Key Research and Development Program of China; Key Research Program of Provincial Department of Science and Technology; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China","National Key Research and Development Program of China; Key Research Program of Provincial Department of Science and Technology; National Natural Science Foundation of Chinahttps://doi.org/10.13039/501100001809; National Natural Science Foundation of Chinahttps://doi.org/10.13039/501100001809; National Natural Science Foundation of Chinahttps://doi.org/10.13039/501100001809","",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"7","32276721","","7141474","10.1016/j.adaj.2020.03.038","PMC 7141474.xml","Journal of the American Dental Association (1939)","American Dental Association.","","","2020","2020",TRUE,"Disclosure:  The authors did not report any disclosures.",FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","discussion",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"8","32302529","","7144600","10.1016/j.joms.2020.03.036","PMC 7144600.xml","Journal of Oral and Maxillofacial Surgery","American Association of Oral and Maxillofacial Surgeons","","","2020","2020",TRUE,"Conflict of Interest Disclosures: None of the authors have any relevant financial relationship(s) with a commercial interest.",FALSE,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","brief-report",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"9","32360053","","7151235","10.1016/j.joen.2020.04.001","PMC 7151235.xml","Journal of Endodontics","American Association of Endodontists.","","","2020","2020",TRUE,"The authors deny any conflicts of interest related to this study.",FALSE,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Supported by grants from the 10.13039/501100001809National Natural Science Foundation of China (grant no. 81901000). Jingjing Yu: Methodology, Investigation, Data curation, Project administration, Funding acquisition, Writing - original draft. Tian Zhang: Data curation, Formal analysis, Software, Writing - original draft, Writing - review & editing. Dan Zhao: Conceptualization, Methodology, Data curation, Visualization, Formal analysis, Supervision, Writing - original draft. Markus Haapasalo: Writing - review & editing. Ya Shen: Writing - original draft, Supervision, Validation, Writing - review & editing.","","","10.13039/501100001809National Natural Science Foundation of China",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"10","32349902","","7151269","10.1016/j.bjoms.2020.03.024","PMC 7151269.xml","The British Journal of Oral & Maxillofacial Surgery","Published by Elsevier Ltd on behalf of The British Association of Oral and Maxillofacial Surgeons.","","","2020","2020",TRUE,"Conflict of interest We have no conflicts of interest.",FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"11","32312585","","7151369","10.1016/j.bjoms.2020.04.003","PMC 7151369.xml","The British Journal of Oral & Maxillofacial Surgery","The British Association of Oral and Maxillofacial Surgeons. Published by Elsevier Ltd.","","","2020","2020",TRUE,"Conflict of interest We have no conflicts of interest.",FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"12","32302530","","7151518","10.1016/j.joms.2020.04.004","PMC 7151518.xml","Journal of Oral and Maxillofacial Surgery","W.B. Saunders Co","","","2020","2020",TRUE,"Conflict of Interest Disclosures: Dr Miloro is a consultant for AxoGen, Inc, Alachua, FL. None of the authors remaining have any relevant financial relationship(s) with a commercial interest.",FALSE,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","brief-report",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"13","32312584","","7152882","10.1016/j.bjoms.2020.04.002","PMC 7152882.xml","The British Journal of Oral & Maxillofacial Surgery","The British Association of Oral and Maxillofacial Surgeons. Published by Elsevier Ltd.","","","2020","2020",TRUE,"Conflict of interest We have no conflicts of interest.",FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14","32321662","","7161483","10.1016/j.bjoms.2020.04.008","PMC 7161483.xml","The British Journal of Oral & Maxillofacial Surgery","The British Association of Oral and Maxillofacial Surgeons. Published by Elsevier Ltd.","","","2020","2020",TRUE,"Conflict of interest We have no conflicts of interest.",FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"15","32300101","","7162686","10.1038/s41368-020-0080-z","PMC 7162686.xml","International Journal of Oral Science","Nature Publishing Group UK; London","State Key Laboratory of Oral Diseases & National Clinical Research Center for Oral Diseases & West China Hospital of Stomatology, ; Sichuan University, ; State Key Laboratory of Oral Diseases & Human Saliva Laboratory & National Clinical Research Center for Oral Diseases & West China Hospital of Stomatology, ; Sichuan University, ","","2020","",TRUE,"Competing interests The authors declare no competing interests.",FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This study was supported by Special Funds for Prevention and Control of COVID-19 of Sichuan University (2020scunCoV-10008, X.Z.); and China Postdoctoral Science Foundation funded project (BX20190224, R.X.).","China Postdoctoral Science Foundation; Covidien; Special Funds for Prevention and Control of COVID-19 of Sichuan University (2020scunCoV-10008)","https://doi.org/10.13039/501100002858China Postdoctoral Science Foundation; https://doi.org/10.13039/501100002736Covidien; Special Funds for Prevention and Control of COVID-19 of Sichuan University (2020scunCoV-10008)","",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,"","review-article",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"16","32336398","","7180017","10.1016/j.bjoms.2020.03.001","PMC 7180017.xml","The British Journal of Oral & Maxillofacial Surgery","The British Association of Oral and Maxillofacial Surgeons. Published by Elsevier Ltd.","","","2020","2020",TRUE,"Conflict of interest We have no conflicts of interest.",FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"17","32332959","","7180661","10.1038/s41415-020-1548-0","PMC 7180661.xml","British Dental Journal","Nature Publishing Group UK; London","","","2020","2020",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","brief-report",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"18","32332957","","7180663","10.1038/s41415-020-1547-1","PMC 7180663.xml","British Dental Journal","Nature Publishing Group UK; London","","","2020","2020",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","brief-report",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"19","32386671","","7183988","10.1016/j.bjoms.2020.04.025","PMC 7183988.xml","The British Journal of Oral & Maxillofacial Surgery","The British Association of Oral and Maxillofacial Surgeons. Published by Elsevier Ltd.","","","2020","2020",TRUE,"Conflict of interest We have no conflicts of interest.",FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"20","32404268","","7194067","10.1016/j.joms.2020.04.040","PMC 7194067.xml","Journal of Oral and Maxillofacial Surgery","Published by Elsevier Inc. on behalf of the American Association of Oral and Maxillofacial Surgeons","","","2020","2020",TRUE,"Conflict of Interest Disclosures: None of the authors have any relevant financial relationship(s) with a commercial interest.",FALSE,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"21","32302531","","7194617","10.1016/j.joms.2020.03.045","PMC 7194617.xml","Journal of Oral and Maxillofacial Surgery","American Association of Oral and Maxillofacial Surgeons","","","2020","2020",TRUE,"Conflict of Interest Disclosures: None of the authors have any relevant financial relationship(s) with a commercial interest.",FALSE,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","brief-report",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
