,pmid,pmcid_pmc,pmcid_uid,filename,is_success,id,source,pmcid,doi.x,title,authorString,journalTitle,issue,journalVolume,pubYear,journalIssn,pageInfo,pubType,isOpenAccess,inEPMC,inPMC,hasPDF,hasBook,hasSuppl,citedByCount,hasReferences,hasTextMinedTerms,hasDbCrossReferences,hasLabsLinks,hasTMAccessionNumbers,firstIndexDate,firstPublicationDate,pmcid_,doi.y,is_relevant_data,is_relevant_code,article,is_open_data,open_data_category,is_open_code,open_data_statements,open_code_statements,doi,journal,publisher,affiliation_institution,affiliation_country,year_epub,year_ppub,is_coi_pred,coi_text,is_coi_pmc_fn,is_coi_pmc_title,is_relevant_coi,is_relevant_coi_hi,is_relevant_coi_lo,is_explicit_coi,coi_1,coi_2,coi_disclosure_1,commercial_1,benefit_1,consultant_1,grants_1,brief_1,fees_1,consults_1,connect_1,connect_2,commercial_ack_1,rights_1,founder_1,advisor_1,paid_1,board_1,no_coi_1,no_funder_role_1,is_fund_pred,fund_text,fund_pmc_institute,fund_pmc_source,fund_pmc_anysource,is_fund_pmc_group,is_fund_pmc_title,is_fund_pmc_anysource,is_relevant_fund,is_explicit_fund,support_1,support_3,support_4,support_5,support_6,support_7,support_8,support_9,support_10,developed_1,received_1,received_2,recipient_1,authors_1,authors_2,thank_1,thank_2,fund_1,fund_2,fund_3,supported_1,financial_1,financial_2,financial_3,grant_1,french_1,common_1,common_2,common_3,common_4,common_5,acknow_1,disclosure_1,disclosure_2,fund_ack,project_ack,is_register_pred,register_text,type,is_research,is_review,is_reg_pmc_title,is_relevant_reg,is_method,is_NCT,is_explicit_reg,prospero_1,registered_1,registered_2,registered_3,registered_4,registered_5,not_registered_1,registration_1,registration_2,registration_3,registration_4,registry_1,reg_title_1,reg_title_2,reg_title_3,reg_title_4,funded_ct_1,ct_2,ct_3,protocol_1
1,32094336,,7039956,PMC 7039956.xml,TRUE,32094336,MED,PMC7039956,10.1038/s41368-020-0074-x,High expression of ACE2 receptor of 2019-nCoV on the epithelial cells of oral mucosa.,"Xu H, Zhong L, Deng J, Peng J, Dan H, Zeng X, Li T, Chen Q.",Int J Oral Sci,1,12,2020,1674-2818; 2049-3169; ,8,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,N,854,Y,Y,Y,Y,N,2/26/2020,2/24/2020,7039956,10.1038/s41368-020-0074-x,TRUE,TRUE,10.1038/s41368-020-0074-x,FALSE,,FALSE,,,10.1038/s41368-020-0074-x,International Journal of Oral Science,Nature Publishing Group UK; London,"State Key Laboratory of Oral Diseases, National Clinical Research Center for Oral Diseases, Chinese Academy of Medical Sciences Research Unit of Oral Carcinogenesis and Management, West China Hospital of Stomatology, ; Sichuan University, ; Key Laboratory of Oral Biomedical Research of Zhejiang Province, Affiliated Stomatology Hospital, ; Zhejiang University School of Stomatology, ",,2020,,TRUE,Competing interests The authors declare no competing interests.,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This study was supported by grants from the National Natural Science Foundation of China (81520108009, 81991502, 81771081, and 81991500), the 111 Project of MOE (B14038), China.","111 Project of MOE,B14038","111 Project of MOE,B14038",,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,,research-article,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,32127517,,7054527,PMC 7054527.xml,TRUE,32127517,MED,PMC7054527,10.1038/s41368-020-0075-9,Transmission routes of 2019-nCoV and controls in dental practice.,"Peng X, Xu X, Li Y, Cheng L, Zhou X, Ren B.",Int J Oral Sci,1,12,2020,1674-2818; 2049-3169; ,9,"research support, non-u.s. gov't; review-article; review; journal article",Y,Y,N,Y,N,N,503,Y,Y,N,Y,N,3/5/2020,3/3/2020,7054527,10.1038/s41368-020-0075-9,TRUE,TRUE,10.1038/s41368-020-0075-9,FALSE,,FALSE,,,10.1038/s41368-020-0075-9,International Journal of Oral Science,Nature Publishing Group UK; London,"State Key Laboratory of Oral Diseases & National Clinical Research Center for Oral Diseases & Department of Cariology and Endodontics, West China Hospital of Stomatology, ; Sichuan University, ",,2020,,TRUE,Competing interests The authors declare no competing interests.,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This study was supported by the Emergency Project of Sichuan University (0082604151013, XZ).","Emergency Project of Sichuan University (0082604151013, XZ)","Emergency Project of Sichuan University (0082604151013, XZ)",,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,,review-article,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,32162995,,7140973,PMC 7140973.xml,TRUE,32162995,MED,PMC7140973,10.1177/0022034520914246,Coronavirus Disease 2019 (COVID-19): Emerging and Future Challenges for Dental and Oral Medicine.,"Meng L, Hua F, Bian Z.",J Dent Res,5,99,2020,0022-0345; 1544-0591; ,481-487,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,N,415,Y,Y,N,Y,N,3/13/2020,3/12/2020,7140973,10.1177/0022034520914246,TRUE,TRUE,10.1177/0022034520914246,FALSE,,FALSE,,,10.1177/0022034520914246,Journal of Dental Research,"SAGE Publications; Sage CA: Los Angeles, CA",,,2020,2020,TRUE,The authors declare no potential conflicts of interest with respect to the authorship and/or publication of this article.,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"The article was supported by grants from the National Natural Science Foundation of China (Nos. 81870761, 81970923, 81901044), The National Key Research and Development Program of China (2016YFC1000505), and the Key Research Program of the Provincial Department of Science and Technology (No. 2017ACA181).",National Key Research and Development Program of China; Key Research Program of Provincial Department of Science and Technology; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China,National Key Research and Development Program of China; Key Research Program of Provincial Department of Science and Technology; National Natural Science Foundation of Chinahttps://doi.org/10.13039/501100001809; National Natural Science Foundation of Chinahttps://doi.org/10.13039/501100001809; National Natural Science Foundation of Chinahttps://doi.org/10.13039/501100001809,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,,research-article,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,32246280,,7118209,PMC 7118209.xml,TRUE,32246280,MED,PMC7118209,10.1007/s00784-020-03267-8,Health services provision of 48 public tertiary dental hospitals during the COVID-19 epidemic in China.,"Yang Y, Zhou Y, Liu X, Tan J.",Clin Oral Investig,5,24,2020,1432-6981; 1436-3771; ,1861-1864,brief-report; journal article,Y,Y,N,Y,N,N,33,Y,Y,N,Y,N,4/5/2020,4/3/2020,7118209,10.1007/s00784-020-03267-8,TRUE,TRUE,10.1007/s00784-020-03267-8,FALSE,,FALSE,,,10.1007/s00784-020-03267-8,Clinical Oral Investigations,Springer Berlin Heidelberg; Berlin/Heidelberg,"Department of Prosthodontics, ; Peking University School and Hospital of Stomatology & National Clinical Research Center for Oral Diseases & National Engineering Laboratory for Digital and Material Technology of Stomatology & Beijing Key Laboratory of Digital Stomatology, ; Department of Anesthesiology, ; Peking University First Hospital, ",,2020,,TRUE,Conflict of interest The authors declare that they have no conflict of interest.,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Funding information This work was supported by Peking University School and Hospital of Stomatology (PKUSSNCT-19A03).,Peking University School and Hospital of Stomatology,Peking University School and Hospital of Stomatology,,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,brief-report,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,32265088,,7132499,PMC 7132499.xml,TRUE,32265088,MED,PMC7132499,10.1016/j.ijom.2020.03.015,Custom-made 3D-printed face masks in case of pandemic crisis situations with a lack of commercially available FFP2/3 masks.,"Swennen GRJ, Pottel L, Haers PE.",Int J Oral Maxillofac Surg,5,49,2020,0901-5027; 1399-0020; ,673-677,brief-report; journal article,Y,Y,N,Y,N,Y,47,Y,Y,N,Y,N,4/9/2020,4/2/2020,7132499,10.1016/j.ijom.2020.03.015,TRUE,TRUE,10.1016/j.ijom.2020.03.015,FALSE,,FALSE,,,10.1016/j.ijom.2020.03.015,International Journal of Oral and Maxillofacial Surgery,Published by Elsevier Ltd on behalf of International Association of Oral and Maxillofacial Surgeons.,,,2020,2020,TRUE,"Conflict of interest Author G.R.J. Swennen has a potential conflict of interest, having a minor stock ownership in 3D Infinity. Authors L. Pottel and P.E. Haers have no conflict of interest to declare.",FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Funding No funding or grants were obtained.,,,,FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,brief-report,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,32273156,,7270628,PMC 7270628.xml,TRUE,32273156,MED,PMC7270628,10.1016/j.joen.2020.03.008,Coronavirus Disease 19 (COVID-19): Implications for Clinical Dental Care.,"Ather A, Patel B, Ruparel NB, Diogenes A, Hargreaves KM.",J Endod,5,46,2020,0099-2399; 1878-3554; ,584-595,review-article; review; journal article,Y,Y,N,Y,N,N,158,Y,Y,N,Y,N,4/11/2020,4/6/2020,7270628,10.1016/j.joen.2020.03.008,TRUE,FALSE,10.1016/j.joen.2020.03.008,FALSE,,FALSE,,,10.1016/j.joen.2020.03.008,Journal of Endodontics,American Association of Endodontists.,,,2020,2020,TRUE,The authors deny any conflicts of interest related to this study.,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,,,,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,,review-article,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,32276721,,7141474,PMC 7141474.xml,TRUE,32276721,MED,PMC7141474,10.1016/j.adaj.2020.03.038,Ethical practice during the COVID-19 pandemic.,"Ethics Subcommittee of the Council on Ethics, Bylaws and Judicial Affairs.",J Am Dent Assoc,5,151,2020,0002-8177; 1943-4723; ,377-378,discussion; journal article,Y,Y,N,Y,N,N,5,Y,Y,N,Y,N,4/12/2020,4/8/2020,7141474,10.1016/j.adaj.2020.03.038,TRUE,TRUE,10.1016/j.adaj.2020.03.038,FALSE,,FALSE,,,10.1016/j.adaj.2020.03.038,Journal of the American Dental Association (1939),American Dental Association.,,,2020,2020,TRUE,Disclosure:  The authors did not report any disclosures.,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,,,,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,discussion,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,32300101,,7162686,PMC 7162686.xml,TRUE,32300101,MED,PMC7162686,10.1038/s41368-020-0080-z,Saliva: potential diagnostic value and transmission of 2019-nCoV.,"Xu R, Cui B, Duan X, Zhang P, Zhou X, Yuan Q.",Int J Oral Sci,1,12,2020,1674-2818; 2049-3169; ,11,"research support, non-u.s. gov't; review-article; review; journal article",Y,Y,N,Y,N,N,107,Y,Y,N,Y,N,4/18/2020,4/17/2020,7162686,10.1038/s41368-020-0080-z,TRUE,TRUE,10.1038/s41368-020-0080-z,FALSE,,FALSE,,,10.1038/s41368-020-0080-z,International Journal of Oral Science,Nature Publishing Group UK; London,"State Key Laboratory of Oral Diseases & National Clinical Research Center for Oral Diseases & West China Hospital of Stomatology, ; Sichuan University, ; State Key Laboratory of Oral Diseases & Human Saliva Laboratory & National Clinical Research Center for Oral Diseases & West China Hospital of Stomatology, ; Sichuan University, ",,2020,,TRUE,Competing interests The authors declare no competing interests.,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This study was supported by Special Funds for Prevention and Control of COVID-19 of Sichuan University (2020scunCoV-10008, X.Z.); and China Postdoctoral Science Foundation funded project (BX20190224, R.X.).",China Postdoctoral Science Foundation; Covidien; Special Funds for Prevention and Control of COVID-19 of Sichuan University (2020scunCoV-10008),https://doi.org/10.13039/501100002858China Postdoctoral Science Foundation; https://doi.org/10.13039/501100002736Covidien; Special Funds for Prevention and Control of COVID-19 of Sichuan University (2020scunCoV-10008),,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,,review-article,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,32302529,,7144600,PMC 7144600.xml,TRUE,32302529,MED,PMC7144600,10.1016/j.joms.2020.03.036,A Pinch of Prevention is Worth a Pound of Cure: Proactive Dentistry in the Wake of COVID-19.,"Halepas S, Ferneini EM.",J Oral Maxillofac Surg,6,78,2020,0278-2391; 1531-5053; ,860-861,brief-report; journal article,Y,Y,N,Y,N,N,6,Y,Y,N,Y,N,4/19/2020,4/9/2020,7144600,10.1016/j.joms.2020.03.036,TRUE,FALSE,10.1016/j.joms.2020.03.036,FALSE,,FALSE,,,10.1016/j.joms.2020.03.036,Journal of Oral and Maxillofacial Surgery,American Association of Oral and Maxillofacial Surgeons,,,2020,2020,TRUE,Conflict of Interest Disclosures: None of the authors have any relevant financial relationship(s) with a commercial interest.,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,,,,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,brief-report,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,32302530,,7151518,PMC 7151518.xml,TRUE,32302530,MED,PMC7151518,10.1016/j.joms.2020.04.004,The UIC COVID Coverage Protocol: A Technical Note for Pandemic Oral and Maxillofacial Surgery Call Coverage.,"Ebben S, Hussain RA, Miloro M, Callahan N.",J Oral Maxillofac Surg,7,78,2020,0278-2391; 1531-5053; ,1044-1046,brief-report; journal article,Y,Y,N,Y,N,N,4,Y,Y,N,Y,N,4/19/2020,4/10/2020,7151518,10.1016/j.joms.2020.04.004,TRUE,FALSE,10.1016/j.joms.2020.04.004,FALSE,,FALSE,,,10.1016/j.joms.2020.04.004,Journal of Oral and Maxillofacial Surgery,W.B. Saunders Co,,,2020,2020,TRUE,"Conflict of Interest Disclosures: Dr Miloro is a consultant for AxoGen, Inc, Alachua, FL. None of the authors remaining have any relevant financial relationship(s) with a commercial interest.",FALSE,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,,,,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,brief-report,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
