"","id","source","pmid","pmcid","doi","title","authorString","journalTitle","issue","journalVolume","pubYear","journalIssn","pageInfo","pubType","isOpenAccess","inEPMC","inPMC","hasPDF","hasBook","hasSuppl","citedByCount","hasReferences","hasTextMinedTerms","hasDbCrossReferences","hasLabsLinks","hasTMAccessionNumbers","firstIndexDate","firstPublicationDate"
"1","33641860","MED","33641860","PMC7816946","10.1016/j.adaj.2021.01.006","Severe acute respiratory syndrome coronavirus 2 infection in asymptomatic pediatric dental patients.","Lamberghini F, Trifan G, Testai FD.","J Am Dent Assoc","4","152","2021","0002-8177; 1943-4723; ","277-283","research-article; journal article","Y","Y","N","Y","N","N",4,"Y","Y","N","Y","N","2021-03-02","2021-01-19"
"2","34561086","MED","34561086","PMC8193024","10.1016/j.adaj.2021.05.021","Estimating salivary carriage of severe acute respiratory syndrome coronavirus 2 in nonsymptomatic people and efficacy of mouthrinse in reducing viral load: A randomized controlled trial.","Chaudhary P, Melkonyan A, Meethil A, Saraswat S, Hall DL, Cottle J, Wenzel M, Ayouty N, Bense S, Casanova F, Chaney M, Chase H, Hermel R, McClement M, Sesson C, Woolsey B, Kumar P.","J Am Dent Assoc","11","152","2021","0002-8177; 1943-4723; ","903-908","research-article; randomized controlled trial; journal article","Y","Y","N","Y","N","N",3,"Y","Y","N","Y","N","2021-09-26","2021-06-11"
"3","34080272","MED","34080272","PMC8242702","10.1111/odi.13934","The diagnostic accuracy of saliva testing for SARS-CoV-2: A systematic review and meta-analysis.","Atieh MA, Guirguis M, Alsabeeha NHM, Cannon RD.","Oral Dis",NA,NA,"2021","1354-523x; 1601-0825; ",NA,"review-article; review; journal article","Y","Y","N","Y","N","N",3,"Y","Y","N","Y","N","2021-06-04","2021-06-03"
"4","33822391","MED","33822391","PMC8250468","10.1111/scd.12593","How to use laser safely in times of COVID-19: Systematic review.","Lago ADN, Cordon R, Gonçalves LM, Menezes CFS, Furtado GS, Rodrigues FCN, Marques DMC.","Spec Care Dentist","4","41","2021","0275-1879; 1754-4505; ","463-473","systematic review; review-article; review; journal article","Y","Y","N","Y","N","N",2,"Y","Y","N","Y","N","2021-04-07","2021-04-06"
"5","33543682","MED","33543682","PMC7868347","10.1177/2380084421993099","SARS-CoV-2 Seropositivity among Dental Staff and the Role of Aspirating Systems.","Sarapultseva M, Hu D, Sarapultsev A.","JDR Clin Trans Res","2","6","2021","2380-0844; 2380-0852; ","132-138","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","Y",5,"Y","Y","N","Y","N","2021-02-06","2021-02-05"
"6","34695290","MED","34695290","PMC8661849","10.1111/odi.14059","Validity and reliability of immunochromatographic IgM/IgG rapid tests for COVID-19 salivary diagnosis.","Vilela ACS, Costa CA, Oliveira SA, Souza MBLD, Fiaccadori FS, Leles CR, Costa NL.","Oral Dis",NA,NA,"2021","1354-523x; 1601-0825; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-11-25","2021-10-25"
"7","34587930","MED","34587930","PMC8479009","10.1186/s12903-021-01831-6","Acceptance of COVID-19 vaccination and its determinants among Lebanese dentists: a cross-sectional study.","Nasr L, Saleh N, Hleyhel M, El-Outa A, Noujeim Z.","BMC Oral Health","1","21","2021","1472-6831","484","research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-10-01","2021-09-29"
"8","33637473","MED","33637473","PMC7849433","10.1016/j.oooo.2021.01.028","Saliva sample for the massive screening of SARS-CoV-2 infection: a systematic review.","Cañete MG, Valenzuela IM, Garcés PC, Massó IC, González MJ, Providell SG.","Oral Surg Oral Med Oral Pathol Oral Radiol","5","131","2021","2212-4403; 2212-4411; ","540-548","systematic review; review-article; review; journal article","Y","Y","N","Y","N","N",3,"Y","Y","N","Y","N","2021-02-28","2021-02-01"
"9","33899251","MED","33899251","PMC8251434","10.1111/jcpe.13471","Dental biofilm of symptomatic COVID-19 patients harbours SARS-CoV-2.","Gomes SC, Fachin S, da Fonseca JG, Angst PDM, Lamers ML, da Silva ISB, Nunes LN.","J Clin Periodontol","7","48","2021","0303-6979; 1600-051x; ","880-885","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","N",4,"Y","Y","N","Y","N","2021-04-27","2021-05-04"
"10","34077690","MED","34077690","PMC8461044","10.1177/00220345211020270","COVID-19: Seroprevalence and Vaccine Responses in UK Dental Care Professionals.","Shields AM, Faustini SE, Kristunas CA, Cook AM, Backhouse C, Dunbar L, Ebanks D, Emmanuel B, Crouch E, Kröger A, Hirschfeld J, Sharma P, Jaffery R, Nowak S, Gee S, Drayson MT, Richter AG, Dietrich T, Chapple ILC.","J Dent Res","11","100","2021","0022-0345; 1544-0591; ","1220-1227","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","N",6,"Y","Y","N","Y","N","2021-06-03","2021-06-02"
